校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
00201,教育學系,8,8,"前標
前標
--
均標
--
--
--","在校學業
學測國英數社
學測國文
學測英文
學測社會
學測數學
國文學業",7,"7%
--
--
--
--
--
--",1,"3%
54
--
--
--
--
--"
00201,教育學系【外加】,1,2,"前標
前標
--
均標
--
--
--","在校學業
學測國英數社
學測國文
學測英文
學測社會
學測數學
國文學業",1,"8%
--
--
--
--
--
--",--,
00202,教育心理與輔導學系,8,8,"均標
前標
均標
均標
--
--
--","在校學業
學測英文
學測國文
學測數學
英文學業
國文學業
數學學業",8,"2%
14
14
--
--
--
--",--,
00202,教育心理與輔導學系【外加】,1,3,"均標
前標
均標
均標
--
--
--","在校學業
學測英文
學測國文
學測數學
英文學業
國文學業
數學學業",1,"11%
--
--
--
--
--
--",--,
00203,社會教育學系,6,6,"均標
均標
均標
均標
--
--
--","在校學業
學測社會
學測國文
國文學業
學測英文
英文學業",6,"2%
--
--
--
--
--",--,
00203,社會教育學系【外加】,1,2,"均標
均標
均標
均標
--
--
--","在校學業
學測社會
學測國文
國文學業
學測英文
英文學業",1,"5%
--
--
--
--
--",--,
00204,人類發展與家庭學系家庭生活教育組,7,7,"均標
均標
--
--
--
--
--","在校學業
學測國英數
學測英文
學測國文
英文學業
國文學業
數學學業",7,"3%
--
--
--
--
--
--",--,
00205,人類發展與家庭學系幼兒發展與教育組,7,7,"均標
均標
--
--
--
--
--","在校學業
學測國英數
學測英文
學測國文
英文學業
國文學業
數學學業",7,"5%
40
--
--
--
--
--",--,
00206,公民教育與活動領導學系,12,12,"前標
均標
均標
前標
--
--
--","在校學業
學測國英數社
學測社會
學測國文
學測英文
公社學業
英文學業",8,"11%
--
--
--
--
--
--",4,"7%
--
--
--
--
--
--"
00206,公民教育與活動領導學系【外加】,0,3,"前標
均標
均標
前標
--
--
--","在校學業
學測國英數社
學測社會
學測國文
學測英文
公社學業
英文學業",0,"--
--
--
--
--
--
--",--,
