校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
03601,教育學系,15,15,"均標
均標
後標
--
--
--
--","在校學業
學測英文
學測國文
學測數學",15,"24%
--
--
--",--,
03602,幼兒教育學系,20,20,"均標
--
--
均標
--
--
--","在校學業
學測國文
學測社會
學測英文",20,"30%
--
--
--",--,
03602,幼兒教育學系【外加】,0,2,"均標
--
--
均標
--
--
--","在校學業
學測國文
學測社會
學測英文",0,"--
--
--
--",--,
03603,特殊教育學系,5,5,"均標
均標
後標
--
--
--
--","在校學業
學測國文
學測英文
學測數學
學測社會",5,"14%
--
--
--
--",--,
03603,特殊教育學系【外加】,0,2,"均標
均標
後標
--
--
--
--","在校學業
學測國文
學測英文
學測數學
學測社會",0,"--
--
--
--
--",--,
03604,教育心理與輔導學系,12,12,"均標
均標
均標
均標
--
--
--","在校學業
學測國英數社
學測國文
學測英文
學測數學",9,"33%
--
--
--
--",3,"17%
--
--
--
--"
03604,教育心理與輔導學系【外加】,0,2,"均標
均標
均標
均標
--
--
--","在校學業
學測國英數社
學測國文
學測英文
學測數學",0,"--
--
--
--
--",--,
03605,中國語文學系,12,12,"均標
--
--
--
--
--
--","在校學業
學測國文
學測英文
學測社會",12,"37%
--
--
--",--,
03605,中國語文學系【外加】,0,2,"均標
--
--
--
--
--
--","在校學業
學測國文
學測英文
學測社會",0,"--
--
--
--",--,
03606,英語學系,16,16,"--
前標
--
--
--
--
B級","在校學業
學測英文
英文學業
國文學業
歷史學業",13,"37%
--
--
--
--",3,"18%
--
--
--
--"
03606,英語學系【外加】,0,2,"--
前標
--
--
--
--
B級","在校學業
學測英文
英文學業
國文學業
歷史學業",0,"--
--
--
--
--",--,
03607,文化創意產業學系,11,11,"均標
後標
--
均標
--
--
B級","在校學業
學測社會
學測國文",9,"35%
--
--",2,"14%
--
--"
03608,社會發展學系,12,12,"--
--
--
均標
--
--
--","在校學業
學測社會
學測國英數社
公社學業",12,"21%
14
--
--",--,
03608,社會發展學系【外加】,2,2,"--
--
--
均標
--
--
--","在校學業
學測社會
學測國英數社
公社學業",2,"33%
--
--
--",--,
03609,應用英語學系,1,1,"--
均標
--
--
--
--
--","在校學業
學測英文
英文學業
學測國文
國文學業
學測社會",1,"11%
--
--
--
--
--",--,
03609,應用英語學系【外加】,0,3,"--
均標
--
--
--
--
--","在校學業
學測英文
英文學業
學測國文
國文學業
學測社會",0,"--
--
--
--
--
--",--,
03610,應用日語學系,2,2,"均標
--
--
--
--
--
--","在校學業
學測英文
學測國文
學測社會",2,"10%
--
--
--",--,
03610,應用日語學系【外加】,0,3,"均標
--
--
--
--
--
--","在校學業
學測英文
學測國文
學測社會",0,"--
--
--
--",--,
03611,視覺藝術學系數位媒體設計組,5,5,"均標
--
--
--
--
--
--","在校學業
學測國文
國文學業",5,"16%
--
--",--,
03611,視覺藝術學系數位媒體設計組【外加】,1,1,"均標
--
--
--
--
--
--","在校學業
學測國文
國文學業",1,"38%
--
--",--,
03612,商業自動化與管理學系,2,2,"--
後標
後標
--
--
--
--","在校學業
學測英文
學測數學
英文學業",2,"7%
--
--
--",--,
03612,商業自動化與管理學系【外加】,0,3,"--
後標
後標
--
--
--
--","在校學業
學測英文
學測數學
英文學業",0,"--
--
--
--",--,
03613,行銷與流通管理學系,2,2,"--
後標
--
--
--
--
--","在校學業
學測英文
學測數學",2,"6%
8
--",--,
03613,行銷與流通管理學系【外加】,0,3,"--
後標
--
--
--
--
--","在校學業
學測英文
學測數學",0,"--
--
--",--,
03614,不動產經營學系,1,1,"後標
--
--
後標
--
--
--","在校學業
學測國文
學測社會
國文學業
公社學業
學測數學",1,"6%
--
--
--
--
--",--,
03614,不動產經營學系【外加】,1,3,"後標
--
--
後標
--
--
--","在校學業
學測國文
學測社會
國文學業
公社學業
學測數學",1,"33%
--
--
--
--
--",--,
03615,企業管理學系,1,1,"--
後標
--
--
--
--
--","在校學業
學測英文
學測國文
學測數學
學測社會
學測國英數社",1,"2%
--
--
--
--
--",--,
03615,企業管理學系【外加】,1,1,"--
後標
--
--
--
--
--","在校學業
學測英文
學測國文
學測數學
學測社會
學測國英數社",1,"22%
--
--
--
--
--",--,
03616,國際貿易學系,1,1,"--
後標
後標
--
--
--
--","在校學業
學測英數
學測英文
學測數學",1,"1%
--
--
--",--,
03616,國際貿易學系【外加】,0,1,"--
後標
後標
--
--
--
--","在校學業
學測英數
學測英文
學測數學",0,"--
--
--
--",--,
03617,應用化學系,7,7,"後標
--
後標
--
均標
--
--","在校學業
學測自然
化學學業
學測英文
英文學業",7,"26%
11
--
--
--",--,
03617,應用化學系【外加】,0,3,"後標
--
後標
--
均標
--
--","在校學業
學測自然
化學學業
學測英文
英文學業",0,"--
--
--
--
--",--,
03618,應用數學系,5,5,"--
--
均標
--
--
--
--","在校學業
學測數學
數學學業
學測英文",5,"23%
--
--
--",--,
03618,應用數學系【外加】,0,2,"--
--
均標
--
--
--
--","在校學業
學測數學
數學學業
學測英文",0,"--
--
--
--",--,
03619,應用物理系物理組,7,7,"--
--
均標
--
均標
--
--","在校學業
學測自然
學測數學
物理學業
化學學業
數學學業",6,"34%
--
--
--
--
--",1,"11%
--
--
--
--
--"
03619,應用物理系物理組【外加】,0,2,"--
--
均標
--
均標
--
--","在校學業
學測自然
學測數學
物理學業
化學學業
數學學業",0,"--
--
--
--
--
--",--,
03620,應用物理系光電暨材料組,8,8,"--
--
均標
--
均標
--
--","在校學業
學測自然
學測數學
物理學業
化學學業
數學學業",8,"28%
12
--
--
--
--",--,
