校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
02801,傳統音樂學系南管樂,1,1,"均標
均標
--
--
均標
--
--","在校學業
學測國文
學測英文
學測社會
國語文學業
英語文學業
公社學業",1,"10%
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
02802,傳統音樂學系北管樂,1,1,"均標
均標
--
--
均標
--
--","在校學業
學測國文
學測英文
學測社會
國語文學業
英語文學業
公社學業",1,"11%
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
02803,傳統音樂學系音樂理論,1,1,"均標
均標
--
--
均標
--
B級","在校學業
學測國文
學測英文
學測社會
國語文學業
英語文學業
公社學業",1,"8%
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
02804,美術學系藝術理論與視覺研究組,2,2,"前標
前標
--
--
均標
--
B級","在校學業
學測國文
學測英文
學測社會
國語文學業
英語文學業
公社學業",2,"7%
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
02805,戲劇學系,3,4,"頂標
前標
--
--
前標
--
--","在校學業
學測國文
學測英文
學測社會
學測國英社
國語文學業
英語文學業",3,"12%
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
02806,電影創作學系,4,4,"頂標
前標
--
--
均標
--
B級","在校學業
學測國文
學測英文
學測社會
國語文學業
英語文學業
公社學業",3,"14%
--
--
--
--
--
--",1,"8%
--
--
--
--
--
--"
02806,電影創作學系【外加】,0,1,"頂標
前標
--
--
均標
--
B級","在校學業
學測國文
學測英文
學測社會
國語文學業
英語文學業
公社學業",0,"--
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
02807,劇場設計學系,2,2,"前標
前標
--
--
--
--
--","在校學業
學測英文
學測國文
英語文學業
國語文學業
數學學業
學測自然",2,"12%
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
02808,新媒體藝術學系,2,3,"--
前標
前標
頂標
--
均標
--","在校學業
數學學業
資訊科技學業
英語文學業
生活科技學業
物理學業
學測英自",2,"14%
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
02809,音樂學系《聲樂》,0,1,"均標
均標
--
--
--
--
B級","在校學業
術科主修
音樂學業
術科聽寫
術科樂理
術科視唱
學測英文",0,"--
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
02809,音樂學系《法國號》,0,1,"均標
均標
--
--
--
--
B級","在校學業
術科主修
音樂學業
術科聽寫
術科樂理
術科視唱
學測英文",0,"--
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
02809,音樂學系《擊樂》,0,1,"均標
均標
--
--
--
--
B級","在校學業
術科主修
音樂學業
術科聽寫
術科樂理
術科視唱
學測英文",0,"--
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
02809,音樂學系《理論作曲》,0,1,"均標
均標
--
--
--
--
B級","在校學業
術科主修
音樂學業
術科聽寫
術科樂理
術科視唱
學測英文",0,"--
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
02810,音樂與影像跨域學士學位學程,2,2,"均標
均標
--
--
--
--
B級","在校學業
音樂學業
術科樂理
術科聽寫
學測國文
學測英文
術科視唱",2,"1%
8%
--
--
--
--
--",--,"--
--
--
--
--
--
--"
02811,美術學系創作組,4,4,"均標
均標
--
--
--
--
B級","在校學業
術科素描
美術學業
學測國文
學測英文
國語文學業
英語文學業",4,"14%
--
--
--
--
--
--",--,"--
--
--
--
--
--
--"
02812,動畫學系,3,3,"均標
均標
--
--
均標
--
B級","在校學業
美術學業
術科素描
術科創意表現
英語文學業
國語文學業
學測社會",3,"4%
14%
--
--
--
--
--",--,"--
--
--
--
--
--
--"
